Word,Mean
inutile,inútil
emmener,llevar
comprenez,comprender
liste,listado
gamin,niño
johnny,Johnny
hey,Oye
prise,enchufe
savent,saber
différent,diferente
verra,veremos
probablement,más probable
intérêt,interés
choisi,seleccionado
parole,palabra
ennemi,enemigo
vêtements,ropa
aimez,me gusta
recherche,investigar
société,sociedad
faisais,hacer
peter,hacer pedo
œil,ojo
soin,cuidado
chère,querida
tourne,transformado
ià,I a
descendre,para ir abajo
félicitations,Felicidades
pose,establecido
position,posición
oeil,ojo
vouloir,querer
mecs,tipo
irai,Vamos
spectacle,espectáculo
acheté,comprado
laquelle,cuál
rôle,role
intéresse,interesado
utiliser,usar
match,juego
devient,se convierte en
quitté,en paz
asseoir,Sentar
environ,alrededor de
plait,golpeando
mur,pared
blessé,herir
mise,poniendo
harry,Harry
you,tú
beauté,belleza
salope,puta
parie,bet
sert,atender
soldats,soldados
films,películas
américain,Americano
marier,casar
entrée,salón
soldat,soldado
ouvert,abierto
sauter,saltar
londres,Londres
eiie,eiie
lequel,cual
lâche,cobardemente
église,iglesia
pierre,Piedra
art,Arte
fenêtre,ventana
humain,humano
tort,equivocado
cerveau,cerebro
coupable,culpable
petites,pequeña
promets,promoción
adresse,Dirección
prince,Príncipe
quartier,pieza
espoir,esperar
conduire,conducir
auriez,tendría
ridicule,ridículo
justice,justicia
rose,rosado
venus,Venus
max,máximo
jimmy,palanqueta
presse,apuro
adieu,adiós
revient,regresar
expérience,experiencia
présenter,Presentar
tombé,caídas
faisons,hagamos
épouser,casar
frères,hermanos
veuillez,por favor
revenu,ingresos
colère,rabia
bill,factura
vis,tornillo
james,James
pourriez,pudo
jim,Jim
intéressant,interesante
ouvrez,abierto
nature,naturaleza
gosse,niño
taxi,Taxi
fier,orgulloso
preuve,evidencia
riche,rico
faudrait,debería
base,base
fleurs,flores
vide,vacío
portes,puertas
mademoiselle,señorita
formidable,enorme
nul,malo
directeur,director
chanter,cantar
contact,contactar
histoires,cuentos
marié,Marie
défense,defensa
répondre,responder
excuse,disculpar
responsable,responsable
deuxième,en segundo
mary,María
san,San
appartement,apartamento
décision,decisión
cinéma,cine
jeter,tirar
aimais,amado
cacher,Esconder
glace,helado
occasion,oportunidad
dents,dientes
vacances,vacaciones
course,la raza
ravi,contento
tueur,asesino
sentir,sentir
courage,coraje
jésus,Jesús
allée,pasillo
capable,poder
essayez,probar
sauvé,Seguro
longue,largo
parmi,entre
continuez,Seguir
paie,pagar
superbe,impresionante
français,Francés
souvenir,Acuerdo
ouest,oeste
dégage,claro
jambes,piernas
coupe,cortado
immédiatement,inmediatamente
machine,máquina
épouse,esposa
telle,tal
marie,Marie
mien,mía
pius,pío
certainement,definitivamente
bombe,bomba
types,tipos
p,pags
né,nacido
manière,la manera
gagne,ganó
prévu,destinado
chier,dar un volcado
trouves,fundar
u,U
idées,ideas
touché,pegar
rendu,representación
monstre,fenómeno
km,km
retrouve,encontrar
ha,Decir ah
f,F
importance,importancia
joie,alegría
dérange,perturbador
arrivent,llegar
court,corre
pont,puente
foutu,jodido
bain,bañera
oubliez,olvidar
tourner,girar
contente,feliz
attendais,esperado
cent,ciento
enchanté,encantada
signifie,medio
américains,Americano
iis,iis
quitte,en paz
poisson,pez
henry,Enrique
ayez,tener
terrain,terrestre
enquête,encuesta
horrible,horrible
chat,gato
certaines,alguno
r,Riñonal
camion,camión
copine,amigo
joyeux,alegre
shérif,alguacil
ramener,traer de vuelta
descends,bajar
éviter,para evitar
projet,proyecto
and,y
dossier,carpetas
respect,respeto
excellent,excelente
envers,hacia
mariée,casada
occupé,ocupado
lorsque,cuando
blanche,blanca
majesté,majestad
rencontre,reunir
toucher,tocar
ange,ángel
refuse,denegado
charge,cobrar
billy,porra
chevaux,caballos
v,V
chiens,perros
empêcher,evitar
dure,difícil
zone,área
faits,hechos
animaux,animales
meilleurs,mejor
plupart,principalmente
emmène,tomar
étions,éramos
politique,Política
chaussures,Zapatos
langue,lengua
mangé,comer
douleur,dolor
planète,planeta
offrir,ofrecer
règles,normas
drogue,marihuana
réalité,la realidad
bus,autobús
enfoiré,Hijo de puta
dirais,diría
permis,permiso
vécu,vivió
chapeau,sombrero
île,isla
réunion,reunión
soient,sean
contraire,opuesto
tony,Tony
mettez,poner
nick,mella
arrivera,llegar a
excuser,disculpar
code,codificado
couleur,color
rapide,rápido
raconte,relata
papier,papel
discuter,conversar
opération,operación
cartes,tarjetas
nourriture,alimento
entier,completo
nécessaire,necesario
frais,costo
toilettes,baño
spécial,especial
vaisseau,buque
action,Valores
princesse,princesa
magasin,Tienda
copain,Novio
sache,haz
bu,bebió
steve,steve
découvert,descubierto
pain,pan de molde
mignon,lindo
taille,tamaño
sacré,sagrado
rends,renders
eddie,Eddie
double,doble
viendra,vendrá
imbécile,imbécil
essaye,probar
champ,campo
personnel,personal
client,cliente
lait,Leche
contrat,contrato
partis,desaparecido
sexe,sexo
mienne,mía
repas,comida
mémoire,memoria
destin,destino
direction,dirección
dors,dormir
faite,hecho 
pleurer,llorar
couteau,cuchillo
malin,inteligente
remettre,Para volver
ray,rayo
témoin,testigo
restes,restos
mètres,medidores
trésor,tesoro
gosses,niños
aiment,me gusta
washington,Washington
habite,residir
foi,fe
puisque,ya que
apporté,trajo
solution,solución
trouvez,Encontrar
nouveaux,nuevo
réfléchir,reflejar
choisir,Elegir
goût,gusto
remercie,Gracias
détruire,destruir
université,Universidad
doux,suave
beaux,hermosos
raconter,decir
vitesse,velocidad
menti,mentiras
três,muy
procès,caso de Corte
enceinte,embarazada
amuser,entretener
niveau,nivel
vus,visión
miss,señorita
fermer,cerca
arranger,arreglar
end,finalizando
clients,clientela
rappeler,recuerdo
Alex,Alex
failli,descendente
arbre,árbol
papiers,documentos
Sarah,Sarah
mérite,merecido
différence,diferencia
travaillé,trabajar
disons,digamos
bleu,azul
dise,decir
aimait,amado
appelles,llamadas
espace,espacio
caméra,cámara
censé,supuesto
qu,que
piste,pista
sourire,sonreír
courir,correr
accepter,aceptar
retrouvé,fundar
charles,Charles
jambe,pierna
angleterre,Inglaterra
quels,Qué
préparer,preparar
marre,harto
forces,fortalezas
tirez,JALAR
énorme,enorme
Danny,Danny
trés,muy
invité,invitado
rentré,Vete a casa
officier,oficial
pièces,monedas
lettres,letras
file,línea
programme,programa
tommy,Tommy
arrêt,deténgase
fout,semen
balles,balas
flingue,pistola
chasse,caza
regrette,lamentado
to,a
propres,limpio
victime,víctima
appartient,pertenencia
france,Francia
unique,unico
régler,ajustar
moindre,menor
compter,contar
voitures,coches
énergie,energía
fil,hilo
lycée,escuela secundaria
crise,crisis
stop,deténgase
image,imagen
vérifier,controlar
dimanche,domingo
appareil,dispositivo
justement,exactamente
richard,Ricardo
noms,sustantivos
million,millón
cassé,roto
enlever,para eliminar
clés,llaves
noire,negro
man,hombre
dépend,depende
derniers,ultimo
doigts,dedos
réponds,responder
honnête,honesto
prouver,demostrar
preuves,evidencia
durant,durante
souris,ratón
entendez,oír
lever,elevar
oiseau,pájaro
belles,hermosas
oû,Dónde
apporte,trajo
grandes,largo
morceau,pieza
bobby,poli
bougez,Muevete
amène,traer
interdit,prohibido
présence,presencia
récupérer,recuperar
quelles,qué
manqué,falta
cou,cuello
venait,vino
étage,escenario
regard,vistazo
bouger,mover
finalement,por último
couper,cortar
urgence,emergencia
perds,perdedor
points,puntos
meurt,matrices
partons,Vamos
troisième,tercera
savons,jabones
folie,Locura
ancien,antiguo
chante,cantado
obtenir,obtener
répète,decir de nuevo
toit,techo
humains,humanos
robert,Robert
jardin,jardín
métier,trabajo
poche,escalfado
méchant,malo
paradis,cielo
proche,cerca
rejoindre,reunirse con
lors,durante
nombre,número
crains,temeroso
règle,regla
frapper,golpear
intention,intención
succès,pegar
forte,fuerte
gentille,amable
campagne,país
raisons,razones
malgré,a pesar de
alcool,alcohol
regardé,mirar
jerry,alemán
billets,Entradas
fantastique,fantástico
lee,sotavento
théâtre,teatro
vôtre,su
samedi,sábado
pluie,lluvia
fermé,granja
relation,relación
frappé,Golpeado
restaurant,restaurante
douce,amable
maladie,enfermedad
parlait,estaba hablando
raté,omitido
casse,roto
dessous,por debajo
pourrai,pudo
victoire,victorias
voudrait,gustaría
remarqué,observó
assurer,para asegurar
pleure,llorar
bouteille,botella
gare,estación
carrière,carrera profesional
sentiments,sentimientos
suivi,seguido
vies,vive
fiston,hijo
vendu,vendido
attendant,esperando
pourras,pueden
amoureuse,enamorado
mens,de los hombres
falloir,necesitar
chinois,Chino
étranger,extranjero
appelait,llamó
assure,asegurar
étant,siendo
queue,cola
odeur,olor
enlève,retirar
produit,producto
meurs,morir
secrets,misterios
pression,presión
fatigué,cansado
aies,aturdir
plage,playa
okay,De acuerdo
animal,animal
frappe,Golpeado
montagne,Montaña
coffre,cofre
passage,paso
suivant,Próximo
signal,señal
discours,discurso
cents,centavos
claire,claro
g,gramo
rivière,río
costume,traje
prendra,tomará
souhaite,deseo
hasard,casualidad
journaux,periódicos
aveugle,ciego
lis,Lirio
demandez,Pedir
retraite,jubilado
afin,con el fin de
vendredi,Viernes
van,camioneta
auraient,tendría
obligé,obligatorio
major,importante
neige,nieve
remercier,gracias
fusil,mosquete
gardes,guardia
faible,débil
pauvres,pobre
noirs,negro
gâteau,pastel
cesse,deténgase
parfaitement,perfectamente
excuses,disculpas
viande,carne
ministre,ministro
univers,universo
vienne,Viena
utile,útil
demandais,preguntó
crétin,imbécil
gaffe,torpeza
cache,oculto
disant,dicho
décider,decidir
dort,dormir
gaz,gas
blancs,ropa blanca
connaissance,conocimiento
vouliez,querido
jake,jake
vidéo,video
bataille,batalla
vive,vivido
anna,Anna
martin,Martín
iui,Iui
os,hueso
entend,oído
jeux,juegos
will,voluntad
verras,veremos
date,fecha
échapper,Escapar
naissance,nacimiento
droits,derechos
assassin,asesino
attendu,esperado
montez,subir
nouvel,nuevo
pensent,pensar
génie,genio
sérieusement,en serio
cible,objetivo
prépare,preparado
agir,actuar
militaire,militar
futur,futuro
attraper,capturar
bal,pelota
europe,Europa
californie,California
donnez,dar
cousin,primo
vert,verde
poids,peso
volonté,voluntad
ventre,estómago
accepte,aceptado
amené,traer
recevoir,recibir
inquiétez,preocuparse
perd,perder
autrement,otro
informations,información
titre,título
célèbre,famoso
couple,pareja
sexy,sexy
serons,estarán
certaine,cierto
parlons,hablemos
star,estrella
étoiles,estrellas
rome,Roma
los,el hueso
répondu,contestada
resté,descansar
charmant,encantador
puissant,poderoso
zéro,cero
genoux,rodillas
mine,mía
couilles,pelotas
pilote,piloto
maria,María
style,estilo
ramène,devuelvelas
voulons,querer
embrasser,besar
amener,traer
valeur,valor
fortune,fortuna
reprendre,retomar
revenez,regresar
vieil,antiguo
walter,Walter
servi,servido
arrivés,llegado
lève,encuesta
voleur,ladrón
côtés,lado
chris,Chris
note,Nota
préféré,prefiere
couché,mintiendo
milliers,miles
aéroport,aeropuerto
prévenir,prevenir
château,castillo
apparemment,aparentemente
gardez,Mantener
privé,privado
détails,detalles
larry,Larry
direct,directo
reposer,descansar
commande,ordenado
cherchez,Mira
fer,planchar
conduit,conducto
conscience,conciencia
oreilles,orejas
conversation,conversación
regardes,Mira
joues,desempeñar
ennemis,enemigos
attendent,Espere
article,artículo
dieux,Dioses
talent,talento
aise,fácil
poulet,pollo
passée,pasado
comprend,comprender
gorge,garganta
feras,hacer
tribunal,tribunal
découvrir,descubrir
agréable,agradable
jette,lanzar
test,prueba
emmerde,falta
détruit,destruir
nerveux,nervioso
saint,Santo
marrant,gracioso
joindre,unirse
sentiment,sentimiento
lance,lanza
humaine,humano
acte,escritura
jane,jane
pis,peor
enculé,follado
tuée,delicado
saura,sabrá
doigt,dedo
pourrez,pueden
passera,pasará
horreur,horror
comptes,cuentas
dernières,más reciente
violence,violencia
fumer,fumar
invités,huéspedes
parlais,medir
job,trabajo
salon,sala de estar
