Korean,Spanish
싫어요,no me gusta
훌륭한,excelente
기다리고,Esperando
잠깐만요,Esperar
잠시,por un momento
가끔,De vez en cuando
일도,Trabajar
뭐요,qué
밥,arroz
여길,Aquí
봤어요,sierra
요즘,Hoy en día
이것,este
스티븐스,Stevens
없었어요,No había
줘요,Dar
들어가,Entra
그렇지만,pero
저희,nosotros
오는,viniendo
물,agua
마라,Marina
있던,En
여자를,La mujer
밤에,Por la noche
생각엔,pienso
has,tener
만나서,reunir
괜찮은,Decente
정신,mental
망할,Destruido
앞에서,Al frente
문을,La puerta
방법을,Cómo
too,También
more,más
선생님이,Maestro
그럼요,Por supuesto
에,a
하루,día
거기에,Ahí
아까,En este momento
저기요,Perdóneme
아녜요,No
some,alguno
생각하는,Pensamiento
괜찮을,Debe estar bien
이번엔,esta vez
있었는데,Había
우리도,Nosotros también
any,Ningún
옆에,próximo
겁니까,Lo es
아님,no
임마,Oye
위에,arriba
걸로,Iluminado
천천히,despacio
off,apagado
얘들아,Tipo
테니,Tenny
잘했어,Bien hecho
분명히,claramente
말이다,말 이다
분,minuto
찾아,encontrar
자기가,Ellos mismos
만들어,hacer
믿을,Creyente
알아서,By-self
못할,Gravemente
생각은,Pensamiento
아들,hijo
있으니까,Porque allí
앞에,Antes
속에,en el interior
아버지는,Mi padre
이럴,Este
그것을,que
피터,Péter
없는데,No hay
그것도,Eso también
누군지,Quien es
very,Muy
잔,vidrio
still,todavía
그대로,como están las cosas
집을,Hogar
여자는,La mujer
차를,Té
아니라고,No
남은,izquierda
아름다운,hermoso
버크,Burlarse
들고,Con
죽었어,Morir
자식,niño
간다,Va
little,Poco
있을까,Habrá
빌어먹을,Maldita sea
밖으로,fuera de
아니잖아,No
그들의,sus
필요가,Necesitar
좋을,Bueno
주고,dar
들었어,he oído
가게,Tienda
말하고,Habló
정도,la licenciatura
힘을,Energía
방법이,Método
바보,Tonto
기분,estado animico
king,Rey
nothing,Nada
생각해요,Piénsalo
할머니,abuela
같네요,Es lo mismo
새끼,joven
여기는,aquí está
우리에게,Para nosotros
의사,médico
저런,Que
단,solamente
의,de
평생,Siempre
말입니다,Palabra
저희가,nosotros
했다,hizo
번째,th
하자,vamos a hacerlo
먹어,comer
받아,recibir
간,hígado
영원히,Siempre
만든,hecha
입고,Usando
충분히,suficiente
언니,hermana
돈이,dinero
있었던,En
받고,por debajo
먹을,Comer
총,pistola
될까요,Lo será
개,perro
얘길,Hablar
별,estrella
되죠,Lo tiene
환자는,El paciente
만큼,tanto como
기회를,Oportunidad
over,sobre
doing,Haciendo
맞지,Derecha
only,solamente
maebh,Maebh
를,emitir
준,Junio
마음에,en el corazón
있니,Esta ahí
서둘러,Apuro
애들,niños
역시,También
있었다,había
다시는,nunca
정확히,exactamente
원,una
말씀,palabras
하나도,Una
끔찍한,Horrible
하려고,voy a hacer
dead,muerto
주,principal
딴,diferente
죽어,morir
please,por favor
그렇다면,después
결혼,matrimonio
엄마를,Mamá
애를,Niño
했던,Hizo
머리를,Cabeza
총을,Pistola
절대로,nunca
나야,Soy yo
무엇을,qué
얘야,Oye
곳에,En su lugar
보게,Mirar
일에,En el trabajo
수술에,Cirugía
생각하지,Pensar
손에,En la mano
저게,Que
사람이야,Es una persona
없다는,No
어째서,por qué
솔직히,Para ser sincero
말라고,No haga
약,aproximadamente
꿈을,sueño
조금만,un poco
된다,hacer
뭐라고요,Le ruego me disculpe
役,
걔가,Ella
오면,Cuando se trata de
아빠는,Papá
멀리,lejos
always,Siempre
어딨어,Dónde estás
그리,imagen
자꾸,Repetidamente
병원에,Al hospital
있습니까,Esta ahí
뒤로,hacia atrás
있었죠,Estaba allí
문제,Problema
있을까요,¿Esta ahí?
should,presumido
전화를,teléfono
하지마,Para
할까,Debería
잡고,Tomar
맘에,Me gusta
away,lejos
얼마,cuánto
했습니다,Hice
옷,vestir
어린,joven
쉐퍼드,Pastor
받을,Recepción
더이상,Más
걔,hierba
셋,Tres
열심히,difícil
수술이,Cirugía
죽는,que perecía
멍청한,tonto
굉장히,muy
분명,seguramente
하기,hacer
관한,sobre
사실은,De hecho
said,DIJO
does,lo hace
준비가,Lector
거짓말,mentir
제게,A mi
제발요,por favor
와요,venir
얼른,apuro
삶을,Vida
주는,Donación
ever,Alguna vez
엄청난,exorbitante
만들,hacer
한잔,una bebida
help,ayuda
병원,hospital
점점,Gradualmente
여기로,Aquí
하는지,Si se trata de
죽인,Delicado
꽉,cercanamente
그랬어,Lo hice
누구도,Cualquiera
보니,Bonnie
그에게,a él
갈게,Iré
아세요,¿lo sabías?
멈춰,deténgase
보러,para ver
했지만,Aunque
아무리,no importa cómo
어딜,Lo que sea
떨어져,lejos
그렇다고,Sí
일이에요,Es trabajo
쓸,Útil
너와,contigo
얼굴을,Cara
비켜,Muevete
방에,En mi cuarto
give,dar
일찍,temprano
오고,Venir
같습니다,Mismo
life,vida
god,dios
되어,Convertirse
gonna,ir a
okay,De acuerdo
놈들이,Tipo
필요는,Necesario
말한,Hablado
할지,O
문제는,el problema es
자네는,Tú
없네,No
find,encontrar
가만히,Todavía
아니오,no
봐라,Nos vemos
세상을,El mundo
몸이,cuerpo
잠시만요,Esperar
오지,Backcountry
있었지,Había
those,aquellos
kill,matar
알죠,lo sé
보내,enviar
long,Largo
안녕히,Adiós
닥쳐,Callarse la boca
힘든,agotador
이해가,Comprensión
아닌데,realmente no
학교,escuela
이유는,La razón es
사랑해요,te quiero
가까이,cercanamente
거라,Gigante
크게,Grande
마음을,El corazón
치프,Jefe
anything,Cualquier cosa
놈을,Tipo
도와줘,Ayúdame
tardis,TARDIS
커피,café
알았는데,De acuerdo
아기,bebé
stop,deténgase
사람의,de la gente
짐,carga
통해,mediante
two,Dos
뭐든,Lo que sea
말해봐,Dime
isn,No
좋겠어,Deseo
before,Antes
much,mucho
그래야,De modo que
걸요,Iré
마요,Parpadeo
마지막으로,Finalmente
est,est
줄게,daré
these,tesé
한다면,si
그것,que
죽게,Muerto
이름,nombre
자주,con frecuencia
주지,esencia
특별한,especial
사람도,Personalidad
을,segundo
home,HOGAR
저리,allá
최선을,Mejor
상황이,La situación
their,sus
될거야,Será
리처드,Ricardo
grey,grrey
이래,ya que
아니었어,No
아버지를,Padre
만약에,Si el
없지만,No
mean,significar
c,C
even,INCLUSO
모르고,inconscientemente
심장,corazón
오세요,Por favor venga
뭐예요,qué
달,luna
있을거야,Habrá
자는,dormido
정도로,En la medida
눈이,Nieve
한다는,Que hacer
젊은,joven
알겠지,Entendido
목숨을,Riesgo
좋았어,Estuvo bien
떠날,Partida
열,Calor
보이는,Visible
심장을,Corazón
내려,bajate
than,que
아니예요,No
fine,MULTA
피를,Sangre
가져와,Trajo
모르지,No sé
어쩔,Forzado
world,Mundo
의사가,Médico
불러,Llamar
들어봐,escuchar
요,yo. Esto
있거든,Lo es
믿지,Creyente
형님,hermano mayor
into,DENTRO
걘,Él
자고,Dormir
끝났어,se acabó
분이,Minuto
또한,Además
저거,que
사실을,Hechos
소리야,Sonido
쉽게,fácilmente
남자는,El hombre
경찰,policía
약간,levemente
아내가,esposa
일이죠,Es trabajo
아기를,Bebé
진정해,cálmate
찾는,Fundar
누군가가,Alguien
오랫동안,por mucho tiempo
출혈이,Sangrado
노래,Canción
저한테,a mi
course,Curso
애들이,Niños
알았다,Lo entiendo
갔다,se fue
생각하고,Piénsalo
누굴,Quién es
못한,Desagradable
겨우,apenas
같은데요,Parece que
마음이,Mente
하나가,Una
어차피,de todos modos
보여요,Espectáculo
정말요,De Verdad
나서,Afuera
다섯,cinco
들었어요,lo escuché
건지,vanidad
왔다,venir
얘기가,Hablando
가능한,posible
못해요,No puedo
그러고,Después
새끼야,Bebé
thank,gracias
차에,En el auto
어디에,dónde
할게,lo haré
만날,todos los días
every,cada
뭔가를,Alguna cosa
가만,Espere
세상에서,en el mundo
새로,Nuevo
again,Otra vez
수정,corrección
hello,Hola
anatomy,Anatomía
만한,Solamente
들어와,Adelante
door,puerta
믿어,creer
않게,Asi que
father,Padre
미스터,Señor
때는,Cuando
모두들,Todo el mundo
때도,Incluso
인생을,Vida
된다고,Que
다신,Deslumbrar
해야지,Debería ser
꺼져,vete
놈은,Tipo
맞죠,Derecha
마음,mente
중이야,Es pesado
지금까지,hasta ahora
글쎄요,no sé
맞는,Correcto
해라,hazlo
남자를,Hombre
했고,Y
저건,Que
실례합니다,Perdóneme
특히,Especialmente
어머,Vaya
그러는,Que
않았다,No
거니,Vamos
vous,Vosos
현재,Este Dia
얼굴,cara
bit,un poco
남편이,esposo
좋다,buenas noches
이리와,Vamos
생긴,apareció
말하면,En otras palabras
keep,keps
보다,ver
사랑을,Amor es
곳이,Lugar
눈에,En los ojos
그랬지,Lo hizo
아들을,Hijo
옷을,Ropa
남편,esposo
없어서,Sin que
la,LA
심장이,Corazón
들어요,escuchar
예쁜,bonita
숨을,Respirar
아니지만,No
name,nombre
일로,Trabajar
만난,Reunió
모르겠지만,No sé
착한,tipo
사이에,Entre
많아,muchos
얘기해,Hablar
made,HECHA
진짜로,De Verdad
told,DICHO
진실을,Verdad
전하,majestad
sir,señor
소리를,Sonido
기억,memoria
선생님은,El maestro
기억이,memoria
며칠,Pocos diás
네게,Para ti
할게요,lo haré
그려,Dibujar
배,Embarcacion
갑시다,vamos
first,primero
사진,Foto
딸,hija
day,día
아닌가,no es
뿐이에요,Solamente
녀석,tipo
해줘,Hazlo
그거야,Ese es
상관,relación
won,ganó
자리를,Asientos
써,escribe
thought,pensamiento
움직이지,Moviente
아나,Ana
했을,me gustaría
만드는,fabricado
잭,Jack
당신한테,Para ti
됐다,hecho
수술은,La cirugía es
문제야,Problema
있으니,En
나갈,Salir
대,grande
쓰고,Escrito
잊지,Olvidar
앉아서,Sesión
알지만,lo sé
가족을,Familia
가족,familia
그날,ese día
없으면,A no ser que
hear,Oír
여기요,Aquí tienes
소리가,Sonido
됐지,Que
하니까,Asi que
시간은,tiempo es
leave,Abandonar
갖다,tener
없소,No
이야기를,Cuentos
있겠지,debo ser
이러지,Este
얼굴이,Cara
않을거야,no lo haré
죽고,Muriendo
거잖아,Eso es todo
moon,Luna
좋습니다,bueno
night,noche
through,mediante
순간,Momento
있는거야,Hay
카레프,Curryp
거냐,¿Lo es?
곁에,junto a
약을,medicamento
밖에서,fuera de
병원에서,En el hospital
좋아해,me gustas
죽지,Muriendo
환자의,Paciente
기다려요,Esperar
보통,normalmente
흠,Mmm
가져,tómalo
which,cual
하는거야,Hazlo
운이,Afortunado
불쌍한,pobre
속에서,en el interior
받은,recibió
열어,abrelo
데이트,fecha
방법은,Camino
어찌,Por alguna razón
알았죠,De acuerdo
될까,Lo será
other,Otro
완벽한,Perfecto
돌아,giro
big,Grande
보기,Ejemplo
그것이,Eso es
피가,Sangriento
죽었어요,Muerto
당연하지,por supuesto
그걸로,Que
아들이,Hijo
men,hombres
놓고,En su lugar
했다고,Lo hice
might,puede que
너에게,El e
카레브,Curry
할거야,lo haré
쓰는,inscrito
곳을,Lugar
몸,cuerpo
coming,venir
뛰어,correr
설마,de ninguna manera
일하는,laboral
own,PROPIO
같다,mismo
물론이죠,Por supuesto
이쪽으로,Ven por aquí
being,siendo
몸을,Cuerpo
없잖아요,No hay
외과,cirugía
doesn,no
똑같은,mismo
박사님,Dr.
things,Cosas
때마다,Cuando sea
샘,fuente
아이는,El niño es
갔어,Fui
못하게,Mucho
조,artículo
거짓말을,mentir
할까요,debería
die,Morir
둬,Izquierda
짓이야,Es una cosa
심각한,Serio
모습을,Mirar
되는데,soy
않는다,No haga
그리곤,Después
우선,prioridad
방,habitación
위험한,peligroso
last,Ultimo
자신이,mí mismo
생명을,Vida
놈의,Gnomo
보이지,Visible
것에,En
음악,música
간에,Hígado
쓰지,Usar
해주세요,Por favor
봤지,yo lo vi
그러죠,Sí
그동안,Mientras tanto
검사,prueba
어려운,difícil
못하는,Sin par
everything,Todo
압니다,lo sé
잠시만,Espera un momento
있는데요,Hay
다리,Pierna
한번도,nunca
date,fecha
진정한,auténtico
저렇게,Como eso
대단한,Excelente
enough,suficiente
화가,artista
죽이고,Asesinato
하잖아,lo hago
같지,Igual
타,subirse
친구들,amigos
만들고,Hecha
명,número de personas
기회가,Oportunidad
차라리,bastante
에이,a
빼고,sin que
도움을,ayuda
하나만,solo uno
쟤,
움직여,en acción
가족이,Familia
척,arrojar
너희들,tú
경우,caso
좋겠어요,Es bueno para ti
않아도,Incluso
put,poner
아니잖아요,No
믿고,Creyente
자막,Subtitular
girl,chica
미국,EE.UU
신이,Dios
바랍니다,deseo
wrong,Equivocado
다리를,Piernas
데려다,Tomar
call,llamar
위대한,estupendo
있기,Quedarse
산,montaña
안에서,En
얘가,Éste
someone,Alguien
일이지,Eso es trabajo
정보를,Información
드디어,finalmente
하실,Ser - estar
짓,Actuar
헤이,Oye
그랬어요,Hice
어머니가,madre
드릴게요,Te daré
몰라도,No sé
하면서,mientras se hace
도와줄,Ayuda
거란,Ruina
must,DEBER
도와,ayuda
달라고,Yo te pregunto
곳으로,Lugares
지금도,Incluso ahora
있도록,Así como
반드시,seguramente
길,la carretera
나가서,Salir
하라고,Para hacerlo
거대한,gigante
날이,El dia
모를,Desconocido
녀석이,Tipo
결정을,Decisión
하,por debajo
언젠가,algún día
이해,comprensión
식으로,En cierto sentido
싶으면,Si quieres
아내를,Esposa
엄마한테,A mi mamá
나면,Si esto es
프랭크,Franco
되잖아,Eso es
했잖아요,Lo hice
덕분에,Gracias a
할수,Pudo
머리가,Cabeza
봐봐,Mira
해줄,Ser - estar
new,nuevo
돌아올,atrás
le,lealté
세상,mundo
wasn,No era
느낌이,el sentimiento es
끝까지,hasta el final
이쪽은,Esto es
거니까,Porque
계획이,Planes
갔어요,se fue
여러,Varios
딸이,Hija
work,trabajar
done,HECHO
봐야,Debe ser visto
그렇고,Sí
막을,Adelante
listen,ESCUCHAR
세상이,El mundo
maybe,Quizás
죽여,Matar
칼,cuchillo
박사,médico
최대한,La mayoría
돌아가,regresa
필요할,Necesario
얘기는,La historia
와우,Guau
거긴,Crudo
저희는,Nosotros
도울,Ayuda
할아버지,abuelo
시작,comienzo
이것은,esto es
처럼,me gusta
결코,nunca
같군요,Es lo mismo
숨,aliento
원하지,No
하니,Hani
나온,Afuera
옛날,Hace mucho tiempo
may,mayo
je,ze
너네,Tuya
했는지,Lo hice
동생,Hermano
오직,Solamente
죽으면,Si mueres
내버려,Dejar
원해,desear
마시고,Beber
왔습니다,vino
폐하,su Majestad
아이들을,Niños
경찰이,Policía
것보다,Abrumar
돌아갈,atrás
미리,ya
애는,Niño
air,Aire
냄새가,Oler
years,años
종일,todo el dia
없다면,Que no
가질,Tener
필,Relleno
가도,calle
아유,Ayu
목을,Cuello
진심으로,Sinceramente
가봐,Vamos
않나,No
빠져,Inferior
우리한테,Para nosotros
갈게요,Iré
아가,bebé
모두를,Todo el mundo
아빠를,Papá
만,solamente
뒤,espalda
계획을,Planificación
닉,Mella
달라,diferente
그렇습니다,Así es
머리에,Cabeza
이라고,Lo es
이유를,La razón
그렇군요,okey
딸을,Hija
살인,Asesinato
남의,Sur
번도,Muchos
잘못된,equivocado
place,lugar
사람들에게,A la gente
자네도,Tú también
먹는,Comido
brother,Hermano
고맙다,Gracias
문제를,Problema
씨가,Semilla
저랑,Conmigo
조니,Johnny
아픈,Herir
책,libro
알다시피,como sabes
사진을,Fotos
조지가,Jorge
사고,accidente
혼자서,solo
친구를,amigos
나은,mejor
마십시오,No haga
걱정하지,estoy preocupado
뭐라,qué
